Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
6h 4d 2h,5h,7h7d,0.950,66.28,8.33496,104.801,0.16,8.13,99.12,8.34,0.72,8.13
6h 4d 2h,5h,8h8c,0.988,64.67,7.8924,101.697,0.60,7.85,98.63,7.89,0.77,7.68
6h 4d 2h,5h,8h8d,0.979,64.55,7.87314,101.647,1.08,7.84,98.30,7.87,0.62,7.65
6h 4d 2h,5h,8h7h,0.996,91.37,19.4946,177.791,9.17,19.48,90.71,19.50,0.11,18.36
6h 4d 2h,5h,9h8c,0.834,29.40,3.83624,108.745,35.37,3.83,39.95,3.84,24.68,3.84
6h 4d 2h,5h,9h9c,0.945,64.68,7.62149,98.2023,0.48,7.42,97.41,7.62,2.11,7.57
6h 4d 2h,5h,9h8d,0.785,29.34,3.81555,108.374,27.71,3.81,32.98,3.82,39.31,3.82
6h 4d 2h,5h,9h9d,0.855,64.47,7.59143,98.1232,0.43,7.40,97.70,7.59,1.87,7.52
6h 4d 2h,5h,9h7h,0.854,91.03,19.3626,177.251,11.35,19.37,88.53,19.36,0.12,18.15
6h 4d 2h,5h,9h8h,0.969,91.04,19.5595,179.029,50.95,19.56,48.94,19.56,0.11,18.26
6h 4d 2h,5h,9h8s,0.834,29.40,3.83624,108.745,35.37,3.83,39.95,3.84,24.68,3.84
6h 4d 2h,5h,Th8c,0.773,29.69,3.81366,107.029,2.64,3.74,50.05,3.82,47.31,3.81
6h 4d 2h,5h,Th9c,0.881,23.98,2.88565,100.272,2.89,2.84,22.29,2.88,74.82,2.89
6h 4d 2h,5h,ThTc,0.875,66.27,7.91366,99.5154,0.35,7.34,24.79,7.91,74.85,7.92
6h 4d 2h,5h,Th8d,0.816,29.65,3.79828,106.752,2.13,3.72,30.47,3.80,67.40,3.80
6h 4d 2h,5h,Th9d,0.925,23.82,2.85559,99.9217,2.19,2.80,21.81,2.86,76.01,2.86
6h 4d 2h,5h,ThTd,0.860,66.21,7.90056,99.4354,0.35,7.33,56.46,7.90,43.19,7.90
6h 4d 2h,5h,Th7h,0.796,89.98,18.1651,168.224,2.68,18.16,97.22,18.17,0.10,17.30
6h 4d 2h,5h,Th8h,0.936,89.99,18.2819,169.287,3.31,18.22,96.62,18.28,0.07,17.39
6h 4d 2h,5h,Th9h,0.969,89.96,18.4912,171.285,3.86,18.43,96.08,18.49,0.06,17.43
6h 4d 2h,5h,Th8s,0.773,29.69,3.81366,107.029,2.64,3.74,50.05,3.82,47.31,3.81
6h 4d 2h,5h,Th9s,0.881,23.98,2.88565,100.272,2.89,2.84,22.29,2.88,74.82,2.89
6h 4d 2h,5h,Jh8c,0.947,31.27,4.14328,110.407,10.23,4.12,31.82,4.15,57.95,4.15
6h 4d 2h,5h,Jh9c,0.909,25.54,3.1884,104.02,24.50,3.19,32.45,3.19,43.05,3.19
6h 4d 2h,5h,JhTc,0.759,25.87,3.19862,103.04,20.58,3.19,21.83,3.20,57.59,3.20
6h 4d 2h,5h,JhJc,0.802,69.55,8.71794,104.46,0.38,8.21,7.64,8.72,91.98,8.72
6h 4d 2h,5h,Jh8d,0.954,31.22,4.13213,110.283,5.96,4.11,8.08,4.13,85.96,4.13
6h 4d 2h,5h,Jh9d,0.936,25.29,3.15692,104.033,12.71,3.15,35.66,3.16,51.63,3.16
6h 4d 2h,5h,JhTd,0.767,25.71,3.19023,103.389,18.72,3.19,30.01,3.19,51.27,3.19
