Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,Kh,8h7h,0.004,24.10,6.71662,232.237,0.26,6.58,99.35,6.72,0.39,5.68
Ah Qd Jc,Kh,9h8c,0.008,6.82,3.95112,482.634,0.15,3.74,99.31,3.96,0.53,2.26
Ah Qd Jc,Kh,9h9c,0.004,14.85,4.12629,231.532,0.13,3.97,99.27,4.14,0.60,2.51
Ah Qd Jc,Kh,9h8d,0.007,6.82,3.91662,478.415,0.16,3.74,99.40,3.92,0.44,2.29
Ah Qd Jc,Kh,9h9d,0.004,14.85,4.1022,230.175,0.14,3.97,99.35,4.11,0.51,2.56
Ah Qd Jc,Kh,9h6h,0.005,24.46,6.70502,228.469,0.27,6.58,99.33,6.71,0.40,5.73
Ah Qd Jc,Kh,9h7h,0.004,24.57,6.70464,227.438,0.26,6.58,99.34,6.71,0.40,5.67
Ah Qd Jc,Kh,9h8h,0.063,24.93,6.98419,233.438,0.31,6.68,99.41,6.99,0.28,5.87
Ah Qd Jc,Kh,9h8s,0.007,6.83,3.9338,480.005,0.16,3.73,99.48,3.94,0.36,2.46
Ah Qd Jc,Kh,Th8c,0.924,86.31,13.0633,126.125,0.42,12.05,98.98,13.07,0.59,13.08
Ah Qd Jc,Kh,Th9c,0.919,86.34,13.0719,126.166,0.41,12.05,99.00,13.08,0.59,13.09
Ah Qd Jc,Kh,ThTc,0.827,89.95,13.7667,127.546,0.28,12.41,88.77,13.77,10.95,13.79
Ah Qd Jc,Kh,Th8d,0.898,86.31,13.0899,126.384,0.43,12.05,98.88,13.09,0.69,13.06
Ah Qd Jc,Kh,Th9d,0.875,86.34,13.0886,126.326,0.39,12.05,98.81,13.09,0.80,13.07
Ah Qd Jc,Kh,ThTd,0.833,89.94,13.7656,127.54,0.30,12.41,93.14,13.77,6.56,13.79
Ah Qd Jc,Kh,Th7h,0.983,88.36,14.2324,134.234,1.35,13.35,98.42,14.24,0.22,14.09
Ah Qd Jc,Kh,Th8h,0.962,88.39,13.9835,131.84,4.92,13.37,94.80,14.01,0.28,14.05
Ah Qd Jc,Kh,Th9h,0.952,88.41,14.0593,132.517,3.73,13.38,95.92,14.09,0.35,14.09
Ah Qd Jc,Kh,Th8s,0.831,86.28,13.1422,126.927,0.52,12.06,97.78,13.15,1.70,12.98
Ah Qd Jc,Kh,Th9s,0.778,86.31,13.1532,126.989,0.51,12.06,98.45,13.16,1.04,13.00
Ah Qd Jc,Kh,Jh8c,0.458,19.10,3.80208,165.877,0.26,4.21,68.52,4.16,31.22,3.01
Ah Qd Jc,Kh,Jh9c,0.454,19.31,3.78462,163.3,0.25,4.23,66.25,4.18,33.49,3.01
Ah Qd Jc,Kh,JhTc,0.270,87.04,13.4462,128.739,0.19,11.72,5.39,13.42,94.43,13.45
Ah Qd Jc,Kh,Jh8d,0.318,19.00,4.01033,175.883,0.26,4.21,87.52,4.14,12.23,3.07
Ah Qd Jc,Kh,Jh9d,0.340,19.21,4.09355,177.586,0.26,4.23,93.17,4.16,6.57,3.09
Ah Qd Jc,Kh,JhTd,0.178,87.04,13.445,128.727,0.19,11.72,5.31,13.42,94.50,13.45
Ah Qd Jc,Kh,JhJd,0.839,78.36,10.5698,112.399,0.15,9.47,60.03,10.11,39.82,11.26
Ah Qd Jc,Kh,Jh7h,0.445,36.10,7.25629,167.526,0.17,7.17,91.34,7.31,8.49,6.63
Ah Qd Jc,Kh,Jh8h,0.901,36.13,7.3666,169.911,0.29,7.31,98.82,7.37,0.89,6.67
Ah Qd Jc,Kh,Jh9h,0.843,36.30,7.33292,168.353,0.29,7.32,98.82,7.34,0.89,6.67
Ah Qd Jc,Kh,JhTh,0.536,89.22,14.4005,134.503,1.59,13.56,98.13,14.41,0.28,14.61
Ah Qd Jc,Kh,Jh8s,0.152,19.02,3.92664,172.026,0.22,4.21,80.14,4.10,19.63,3.21
Ah Qd Jc,Kh,Jh9s,0.153,19.23,3.93007,170.278,0.22,4.23,80.75,4.10,19.03,3.19
Ah Qd Jc,Kh,JhTs,0.185,87.07,13.4535,128.767,0.19,11.72,5.66,13.42,94.15,13.46
Ah Qd Jc,Kh,Qh8c,0.482,20.45,4.31171,175.687,0.34,4.65,95.55,4.36,4.12,3.12
Ah Qd Jc,Kh,Qh9c,0.539,20.66,4.30031,173.452,0.33,4.67,93.64,4.38,6.03,3.11
Ah Qd Jc,Kh,QhTc,0.150,87.40,13.5566,129.254,0.26,11.86,64.29,13.62,35.46,13.45
Ah Qd Jc,Kh,QhQc,0.845,80.12,10.821,112.545,0.15,10.12,72.42,10.41,27.43,11.91
Ah Qd Jc,Kh,Qh8d,0.466,20.35,4.32722,177.176,0.37,4.65,98.37,4.34,1.26,3.15
Ah Qd Jc,Kh,Qh9d,0.486,20.56,4.34886,176.293,0.36,4.67,98.21,4.36,1.43,3.17
Ah Qd Jc,Kh,QhTd,0.195,87.40,13.5539,129.235,0.26,11.85,64.75,13.62,34.99,13.44
Ah Qd Jc,Kh,QhJd,0.752,59.46,7.62867,106.914,0.09,6.06,0.09,6.79,99.82,7.63
Ah Qd Jc,Kh,Qh7h,0.744,37.46,7.83909,174.4,0.20,7.67,94.64,7.89,5.16,6.92
Ah Qd Jc,Kh,Qh8h,0.844,37.38,7.96117,177.459,0.26,7.65,97.19,7.99,2.55,6.88
Ah Qd Jc,Kh,Qh9h,0.775,37.54,7.97045,176.913,0.26,7.66,97.60,7.99,2.13,6.89
Ah Qd Jc,Kh,QhTh,0.421,89.59,14.5177,135.042,2.38,13.66,97.16,14.54,0.46,14.67
Ah Qd Jc,Kh,QhJh,0.943,67.30,10.2337,126.714,0.23,9.62,99.59,10.23,0.17,10.54
