Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,5s,Ad2h,0.625,72.46,4.80681,110.556,0.24,4.60,0.82,4.72,98.94,4.81
Ah Qd Jc,5s,Ad3h,0.637,72.47,4.80574,110.529,0.27,4.60,0.71,4.72,99.02,4.81
Ah Qd Jc,5s,Ad4h,0.653,72.47,4.80764,110.563,0.26,4.61,0.72,4.72,99.01,4.81
Ah Qd Jc,5s,Ad5h,0.672,86.32,7.73052,149.263,23.92,7.73,75.83,7.73,0.26,7.36
Ah Qd Jc,5s,Ad6h,0.590,73.53,4.94249,112.022,0.83,4.85,1.05,4.89,98.13,4.94
Ah Qd Jc,5s,Ad7h,0.588,74.33,5.06435,113.549,29.86,5.07,10.90,5.05,59.24,5.07
Ah Qd Jc,5s,Ad8h,0.645,75.58,5.34522,117.868,13.17,5.34,42.72,5.35,44.11,5.35
Ah Qd Jc,5s,Ad9h,0.749,76.98,5.61847,121.637,23.46,5.62,59.84,5.62,16.71,5.62
Ah Qd Jc,5s,AdTh,0.582,83.71,6.58417,131.088,58.02,6.58,41.41,6.59,0.57,6.39
Ah Qd Jc,5s,AdJh,0.244,89.39,8.66476,161.551,69.82,8.67,30.01,8.66,0.17,8.14
Ah Qd Jc,5s,AdQh,0.049,89.55,9.03851,168.215,91.94,9.04,7.99,9.04,0.07,8.26
Ah Qd Jc,5s,AdKh,0.491,86.19,7.21095,139.44,86.14,7.21,13.66,7.21,0.20,6.81
Ah Qd Jc,5s,Ad2s,0.577,72.39,4.79861,110.479,0.24,4.59,0.84,4.71,98.92,4.80
Ah Qd Jc,5s,Ad3s,0.581,72.39,4.79625,110.432,0.26,4.59,0.76,4.71,98.98,4.80
Ah Qd Jc,5s,Ad4s,0.593,72.40,4.7989,110.472,0.26,4.60,0.76,4.71,98.98,4.80
Ah Qd Jc,5s,Ad6s,0.387,73.54,4.94324,112.029,0.84,4.85,1.11,4.90,98.04,4.94
Ah Qd Jc,5s,Ad7s,0.451,74.30,5.06471,113.608,40.76,5.07,12.23,5.05,47.00,5.07
Ah Qd Jc,5s,Ad8s,0.573,75.55,5.34732,117.964,11.61,5.34,46.59,5.35,41.80,5.35
Ah Qd Jc,5s,Ad9s,0.632,76.96,5.62721,121.869,13.96,5.62,73.43,5.63,12.61,5.62
Ah Qd Jc,5s,AdTs,0.716,83.75,6.57377,130.825,64.20,6.57,35.22,6.58,0.59,6.39
Ah Qd Jc,5s,AdJs,0.306,89.17,8.47623,158.42,71.40,8.48,28.41,8.47,0.19,8.09
Ah Qd Jc,5s,AdQs,0.051,89.55,9.04134,168.278,86.41,9.04,13.51,9.04,0.08,8.26
Ah Qd Jc,5s,AdKs,0.371,86.50,7.38427,142.285,91.82,7.39,8.01,7.38,0.17,6.89
Ah Qd Jc,5s,2h2c,0.622,12.04,0.54026,74.756,33.91,0.54,45.28,0.54,20.81,0.54
Ah Qd Jc,5s,2h2d,0.636,12.01,0.53733,74.5427,33.53,0.54,45.04,0.54,21.43,0.54
Ah Qd Jc,5s,3h3c,0.610,12.11,0.54329,74.7789,34.12,0.54,46.12,0.54,19.76,0.54
Ah Qd Jc,5s,3h3d,0.625,12.08,0.54027,74.5407,35.06,0.54,44.51,0.54,20.42,0.54
Ah Qd Jc,5s,4h4c,0.598,12.14,0.54222,74.437,34.26,0.54,45.15,0.54,20.59,0.54
Ah Qd Jc,5s,4h4d,0.613,12.17,0.54158,74.1911,34.45,0.54,45.38,0.54,20.16,0.54
Ah Qd Jc,5s,5h5c,0.727,92.39,10.4973,189.365,99.31,10.50,0.66,10.38,0.03,9.36
Ah Qd Jc,5s,5h5d,0.707,92.39,10.4981,189.378,99.31,10.50,0.66,10.38,0.03,9.36
Ah Qd Jc,5s,6h6c,0.981,11.62,0.44642,64.016,11.51,0.44,39.78,0.45,48.71,0.45
Ah Qd Jc,5s,6h6d,0.981,11.65,0.44736,63.9891,11.55,0.44,39.33,0.45,49.12,0.45
Ah Qd Jc,5s,6h5h,0.987,17.41,0.9681,92.694,30.02,0.96,28.89,0.97,41.09,0.97
Ah Qd Jc,5s,7h7c,0.991,11.23,0.43893,65.1327,0.70,0.35,0.19,0.31,99.11,0.44
Ah Qd Jc,5s,7h7d,0.991,11.32,0.43799,64.4973,0.71,0.35,0.19,0.31,99.10,0.44
Ah Qd Jc,5s,7h5h,0.993,17.12,0.95672,93.1415,28.31,0.96,10.34,0.95,61.34,0.96
Ah Qd Jc,5s,7h6h,0.994,1.91,0.02465,21.5556,0.72,-0.04,1.69,-0.03,97.59,0.03
Ah Qd Jc,5s,8h8c,0.994,14.92,0.52942,59.1564,0.19,0.15,0.04,0.10,99.77,0.53
Ah Qd Jc,5s,8h8d,0.995,15.00,0.53053,58.9455,0.20,0.18,0.04,0.10,99.76,0.53
Ah Qd Jc,5s,8h6h,0.995,3.36,0.00917,4.54458,0.29,-0.26,0.17,-0.23,99.54,0.01
Ah Qd Jc,5s,8h7h,0.996,3.69,0.00737,3.33088,0.28,-0.28,0.10,-0.28,99.63,0.01
Ah Qd Jc,5s,9h8c,0.992,11.09,0.38328,57.6126,0.24,0.09,0.09,-0.05,99.67,0.38
Ah Qd Jc,5s,9h9c,0.996,21.88,0.90467,68.9208,0.11,-0.03,0.01,0.07,99.88,0.91
Ah Qd Jc,5s,9h8d,0.993,11.15,0.38336,57.281,0.25,0.11,0.09,-0.06,99.66,0.38
Ah Qd Jc,5s,9h9d,0.996,21.90,0.9023,68.6699,0.11,-0.03,0.01,0.06,99.88,0.90
Ah Qd Jc,5s,9h6h,0.995,5.42,0.02846,8.75503,0.25,-0.36,0.11,-0.25,99.64,0.03
Ah Qd Jc,5s,9h7h,0.996,4.95,0.02785,9.37136,0.20,-0.43,0.07,-0.36,99.73,0.03
Ah Qd Jc,5s,9h8h,0.937,11.18,0.37885,56.5021,0.21,0.02,0.08,-0.09,99.71,0.38
Ah Qd Jc,5s,9h8s,0.993,11.05,0.37488,56.5415,0.21,0.04,0.08,-0.11,99.71,0.38
Ah Qd Jc,5s,Th8c,0.076,20.98,1.78073,141.459,65.06,1.78,3.18,1.74,31.76,1.78
Ah Qd Jc,5s,Th9c,0.081,22.01,1.7856,135.183,62.71,1.79,3.27,1.75,34.02,1.78
Ah Qd Jc,5s,ThTc,0.173,33.97,1.79277,87.9578,0.32,1.60,0.07,1.39,99.61,1.79
Ah Qd Jc,5s,Th8d,0.102,21.04,1.77943,140.969,76.76,1.78,2.11,1.74,21.13,1.77
Ah Qd Jc,5s,Th9d,0.125,22.01,1.78165,134.894,67.49,1.78,3.06,1.75,29.45,1.78
Ah Qd Jc,5s,ThTd,0.167,33.96,1.7935,88.0124,0.32,1.59,0.07,1.39,99.61,1.79
Ah Qd Jc,5s,Th7h,0.017,12.78,0.89797,117.068,77.21,0.91,0.57,0.77,22.22,0.87
Ah Qd Jc,5s,Th8h,0.038,21.08,1.77602,140.451,52.16,1.78,2.03,1.72,45.81,1.77
Ah Qd Jc,5s,Th9h,0.048,22.08,1.76685,133.353,10.94,1.76,2.12,1.71,86.95,1.77
Ah Qd Jc,5s,Th8s,0.169,20.96,1.75296,139.368,17.54,1.74,1.80,1.71,80.66,1.76
Ah Qd Jc,5s,Th9s,0.222,22.04,1.74556,131.971,8.26,1.74,1.95,1.69,89.79,1.75
Ah Qd Jc,5s,Jh8c,0.542,34.53,1.64263,79.2758,0.13,0.85,0.03,1.27,99.85,1.64
Ah Qd Jc,5s,Jh9c,0.546,35.99,1.76999,81.977,0.12,0.90,0.02,1.36,99.86,1.77
Ah Qd Jc,5s,JhTc,0.730,45.35,2.5077,92.1709,0.18,2.02,0.05,2.18,99.77,2.51
Ah Qd Jc,5s,Jh8d,0.682,34.14,1.61283,78.7355,0.13,0.88,0.03,1.25,99.84,1.61
Ah Qd Jc,5s,Jh9d,0.660,35.50,1.72996,81.208,0.12,0.91,0.03,1.35,99.85,1.73
Ah Qd Jc,5s,JhTd,0.822,45.37,2.5095,92.1891,0.18,2.02,0.05,2.18,99.77,2.51
Ah Qd Jc,5s,JhJd,0.161,93.40,11.0021,196.316,99.75,11.00,0.23,10.53,0.02,9.96
Ah Qd Jc,5s,Jh7h,0.555,35.22,1.79071,84.7349,0.13,0.98,0.03,1.42,99.85,1.79
Ah Qd Jc,5s,Jh8h,0.099,34.62,1.64992,79.4378,0.12,0.85,0.03,1.30,99.85,1.65
Ah Qd Jc,5s,Jh9h,0.157,35.99,1.7727,82.0993,0.11,0.90,0.02,1.35,99.86,1.77
