Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,Ks,KhJh,0.558,54.92,6.98218,105.942,0.05,5.37,96.28,6.98,3.67,6.94
Ah Qd Jc,Ks,KhQh,0.669,56.97,7.61159,111.333,0.01,6.35,99.34,7.61,0.65,7.22
Ah Qd Jc,Ks,Kh7s,0.295,14.30,1.66919,97.2648,0.28,0.95,98.68,1.67,1.05,1.65
Ah Qd Jc,Ks,Kh8s,0.330,14.41,1.70475,98.5884,0.31,1.10,98.70,1.71,0.98,1.65
Ah Qd Jc,Ks,Kh9s,0.341,14.42,1.71434,99.0932,0.30,1.16,98.74,1.72,0.96,1.66
Ah Qd Jc,Ks,KhTs,0.965,84.42,13.7297,135.535,0.20,12.77,97.74,13.73,2.06,13.69
Ah Qd Jc,Ks,KhJs,0.338,54.73,6.93571,105.6,0.06,5.27,96.05,6.94,3.89,6.89
Ah Qd Jc,Ks,KhQs,0.479,57.43,7.65972,111.142,0.01,6.38,99.28,7.66,0.71,7.28
Ah Qd Jc,Ks,2s2c,0.109,7.28,1.20385,137.723,0.29,0.65,29.73,1.19,69.98,1.21
Ah Qd Jc,Ks,2s2d,0.107,7.28,1.20805,138.207,0.29,0.65,30.24,1.20,69.47,1.21
Ah Qd Jc,Ks,2s2h,0.118,7.29,1.18306,135.325,0.28,0.63,25.32,1.17,74.40,1.19
Ah Qd Jc,Ks,3s3c,0.109,7.28,1.19959,137.274,0.29,0.65,30.45,1.19,69.25,1.21
Ah Qd Jc,Ks,3s3d,0.108,7.28,1.20457,137.847,0.29,0.65,30.48,1.20,69.22,1.21
Ah Qd Jc,Ks,3s3h,0.121,7.28,1.17593,134.547,0.29,0.62,26.22,1.17,73.49,1.18
Ah Qd Jc,Ks,4s4c,0.111,7.28,1.19593,136.888,0.29,0.64,30.82,1.19,68.89,1.20
Ah Qd Jc,Ks,4s4d,0.109,7.28,1.20078,137.447,0.29,0.65,30.18,1.19,69.53,1.21
Ah Qd Jc,Ks,4s4h,0.123,7.28,1.17198,134.127,0.29,0.62,26.50,1.16,73.22,1.18
Ah Qd Jc,Ks,5s5c,0.066,7.27,1.25617,143.95,0.22,0.62,22.22,1.22,77.56,1.27
