Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,Js,Ad2s,0.837,58.40,6.6871,95.4195,0.12,5.18,0.14,6.33,99.73,6.69
Jh 4d 2h,Js,Ad3s,0.690,41.53,4.23144,84.9078,10.99,5.32,1.85,5.26,87.17,4.07
Jh 4d 2h,Js,Ad4s,0.807,65.36,8.17126,104.175,0.13,6.53,2.91,7.63,96.96,8.19
Jh 4d 2h,Js,Ad5s,0.645,44.35,5.01635,94.2548,3.39,5.68,44.51,5.60,52.10,4.47
Jh 4d 2h,Js,Ad6s,0.893,40.41,4.24032,87.4495,1.65,4.59,33.33,4.49,65.02,4.10
Jh 4d 2h,Js,Ad7s,0.772,42.40,4.51392,88.7069,0.87,4.70,2.95,4.56,96.17,4.51
Jh 4d 2h,Js,Ad8s,0.192,44.66,4.42367,82.5352,0.45,4.79,0.89,4.63,98.65,4.42
Jh 4d 2h,Js,Ad9s,0.070,47.58,5.12517,89.7676,0.34,4.95,0.37,4.87,99.29,5.13
Jh 4d 2h,Js,AdTs,0.251,50.78,5.71988,93.8589,0.22,5.11,0.30,5.39,99.48,5.72
Jh 4d 2h,Js,AdQs,0.062,53.73,4.9343,76.5269,0.14,5.15,0.33,5.88,99.53,4.93
Jh 4d 2h,Js,AdKs,0.094,56.81,5.77998,84.7854,0.13,5.15,0.24,6.21,99.62,5.78
Jh 4d 2h,Js,3h3c,0.643,56.05,5.63397,83.7661,0.14,5.65,0.66,6.79,99.20,5.63
Jh 4d 2h,Js,3h3d,0.660,56.04,5.48228,81.5227,0.13,5.65,0.74,6.78,99.13,5.47
Jh 4d 2h,Js,4h4c,0.999,97.01,20.4905,176.023,72.63,20.46,27.22,20.56,0.15,21.72
Jh 4d 2h,Js,5h5c,0.815,67.05,8.55604,106.334,0.20,7.77,64.50,8.47,35.30,8.72
Jh 4d 2h,Js,5h5d,0.830,67.06,8.56084,106.383,0.20,7.76,58.41,8.47,41.39,8.69
Jh 4d 2h,Js,6h6c,0.858,68.17,8.85005,108.183,0.21,8.01,63.12,8.73,36.67,9.06
Jh 4d 2h,Js,6h6d,0.845,68.17,8.83252,107.97,0.21,8.00,67.52,8.73,32.27,9.06
Jh 4d 2h,Js,6h5h,0.995,34.34,7.38721,179.256,69.75,7.42,28.76,7.37,1.48,6.29
Jh 4d 2h,Js,7h7c,0.823,70.38,9.31873,110.343,0.30,8.68,71.05,9.19,28.66,9.64
Jh 4d 2h,Js,7h7d,0.742,70.34,9.21883,109.214,0.27,8.67,89.56,9.18,10.18,9.60
Jh 4d 2h,Js,7h5h,0.751,27.75,5.02957,151.044,10.42,6.05,8.65,6.01,80.93,4.79
Jh 4d 2h,Js,7h6h,0.908,28.16,5.29384,156.64,29.82,6.10,9.50,6.06,60.68,4.78
Jh 4d 2h,Js,8h8c,0.543,72.49,9.66175,111.076,0.34,9.29,89.52,9.61,10.14,10.09
Jh 4d 2h,Js,8h8d,0.593,72.45,9.64477,110.931,0.36,9.29,88.00,9.59,11.63,10.06
Jh 4d 2h,Js,8h6h,0.821,28.17,5.2368,154.894,28.24,6.13,3.09,6.05,68.67,4.83
Jh 4d 2h,Js,8h7h,0.913,28.28,5.89206,173.626,76.41,6.18,3.09,6.11,20.50,4.77
Jh 4d 2h,Js,9h8c,0.955,10.02,2.05181,170.614,12.24,3.81,10.87,3.76,76.89,1.53
Jh 4d 2h,Js,9h9c,0.218,75.45,10.3017,113.783,0.60,10.09,94.28,10.27,5.13,10.84
Jh 4d 2h,Js,9h8d,0.955,10.03,1.72286,143.19,6.57,3.84,4.73,3.80,88.70,1.46
Jh 4d 2h,Js,9h9d,0.349,75.41,10.2111,112.837,0.67,10.06,93.88,10.18,5.45,10.78
Jh 4d 2h,Js,9h6h,0.719,28.20,5.94682,175.705,66.02,6.28,11.36,6.20,22.62,4.84
Jh 4d 2h,Js,9h7h,0.811,28.31,6.17367,181.721,66.25,6.33,24.93,6.25,8.82,4.74
Jh 4d 2h,Js,9h8h,0.924,28.32,6.24306,183.713,76.62,6.37,15.95,6.29,7.43,4.82
Jh 4d 2h,Js,9h8s,0.955,9.99,1.68955,140.951,5.86,3.79,4.00,3.73,90.14,1.46
Jh 4d 2h,Js,Th8c,0.947,10.35,1.97776,159.244,7.02,3.87,12.78,3.84,80.20,1.52
Jh 4d 2h,Js,Th9c,0.873,10.98,2.58828,196.42,9.72,3.86,34.31,3.86,55.97,1.59
Jh 4d 2h,Js,ThTc,0.041,77.77,11.4063,122.219,8.10,10.71,2.90,10.71,89.00,11.49
