Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,9h,As6c,0.520,32.39,1.40892,72.4884,0.48,1.22,18.34,1.41,81.18,1.41
Jh 4d 2h,9h,As7c,0.650,35.05,1.54415,73.4215,0.31,1.24,0.28,1.47,99.42,1.55
Jh 4d 2h,9h,As8c,0.889,38.31,1.7327,75.3745,0.24,1.35,0.16,1.63,99.60,1.73
Jh 4d 2h,9h,As9c,0.941,79.60,5.43551,113.802,1.24,5.38,50.59,5.44,48.17,5.44
Jh 4d 2h,9h,AsTc,0.664,44.22,2.13988,80.6581,0.31,1.86,0.17,2.06,99.52,2.14
Jh 4d 2h,9h,AsJc,0.010,81.59,6.01224,122.809,58.28,6.01,40.76,6.01,0.96,5.92
Jh 4d 2h,9h,AsQc,0.850,48.18,2.4288,84.0232,0.30,2.21,0.14,2.31,99.55,2.43
Jh 4d 2h,9h,AsKc,0.765,51.12,2.59857,84.7167,0.19,2.22,0.09,2.34,99.72,2.60
Jh 4d 2h,9h,AsAc,0.001,85.14,6.74327,132.002,4.86,6.71,94.65,6.75,0.49,6.60
Jh 4d 2h,9h,As2d,0.166,54.72,3.0106,91.6972,0.25,2.71,0.15,2.85,99.60,3.01
Jh 4d 2h,9h,As3d,0.472,35.70,1.92351,89.8032,1.51,1.89,10.76,1.92,87.73,1.92
Jh 4d 2h,9h,As5d,0.556,36.85,1.99174,90.0721,1.10,1.92,42.99,1.99,55.91,1.99
Jh 4d 2h,9h,As6d,0.415,32.42,1.41095,72.5447,0.49,1.23,16.74,1.41,82.77,1.41
Jh 4d 2h,9h,As7d,0.471,35.05,1.54423,73.4296,0.31,1.24,0.28,1.48,99.40,1.55
Jh 4d 2h,9h,As8d,0.842,38.32,1.7326,75.3471,0.24,1.36,0.16,1.64,99.59,1.73
Jh 4d 2h,9h,As9d,0.834,79.44,5.43564,114.04,1.27,5.38,48.20,5.44,50.53,5.44
Jh 4d 2h,9h,AsTd,0.557,44.22,2.13926,80.6258,0.32,1.87,0.18,2.08,99.49,2.14
