Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2c,Qc,9h9d,0.708,45.90,1.65125,59.9611,0.24,1.17,0.26,1.63,99.50,1.65
Ah 8d 2c,Qc,9h8h,0.889,42.97,1.51674,58.8236,0.91,1.44,1.54,1.51,97.55,1.52
Ah 8d 2c,Qc,ThTc,0.842,48.60,1.7916,61.4401,0.14,1.31,3.93,1.75,95.92,1.79
Ah 8d 2c,Qc,ThTd,0.863,48.25,1.74629,60.3231,0.21,1.20,0.32,1.71,99.46,1.75
Ah 8d 2c,Qc,Th8h,0.718,43.91,1.54724,58.7257,1.02,1.48,4.53,1.54,94.45,1.55
Ah 8d 2c,Qc,Th9h,0.375,15.47,1.09866,118.352,42.84,1.10,51.78,1.10,5.38,1.07
Ah 8d 2c,Qc,JhTc,0.683,26.53,1.9084,119.878,57.44,1.91,24.89,1.91,17.67,1.91
Ah 8d 2c,Qc,JhTd,0.709,26.40,1.84566,116.541,45.62,1.85,48.03,1.85,6.35,1.84
Ah 8d 2c,Qc,Jh8h,0.747,45.09,1.62944,60.2244,0.73,1.54,5.57,1.62,93.70,1.63
Ah 8d 2c,Qc,Jh9h,0.490,17.52,1.12615,107.124,20.85,1.13,65.78,1.13,13.37,1.11
Ah 8d 2c,Qc,JhTh,0.445,26.37,1.85111,116.998,55.36,1.85,38.78,1.85,5.87,1.84
Ah 8d 2c,Qc,JhTs,0.670,26.28,1.82424,115.689,52.07,1.82,40.50,1.82,7.43,1.82
Ah 8d 2c,Qc,QhTc,0.796,59.98,2.71413,75.418,0.51,2.64,7.73,2.71,91.76,2.71
Ah 8d 2c,Qc,QhJc,0.803,61.25,2.85042,77.5667,0.37,2.64,17.93,2.85,81.69,2.85
Ah 8d 2c,Qc,QhTd,0.788,59.70,2.6965,75.2779,0.48,2.59,0.51,2.69,99.01,2.70
Ah 8d 2c,Qc,QhJd,0.792,60.98,2.83243,77.4118,0.34,2.60,11.33,2.83,88.33,2.83
Ah 8d 2c,Qc,Qh8h,0.847,86.01,7.5554,146.4,90.55,7.56,9.21,7.56,0.24,7.04
Ah 8d 2c,Qc,Qh9h,0.741,58.39,2.61555,74.6558,0.34,2.43,0.39,2.58,99.27,2.62
Ah 8d 2c,Qc,QhTh,0.425,59.73,2.69453,75.1823,0.48,2.58,0.76,2.69,98.76,2.70
Ah 8d 2c,Qc,QhJh,0.520,61.09,2.84009,77.4898,0.33,2.60,11.46,2.84,88.21,2.84
Ah 8d 2c,Qc,QhTs,0.758,59.61,2.67717,74.8583,0.49,2.58,2.93,2.68,96.58,2.68
Ah 8d 2c,Qc,QhJs,0.800,60.87,2.81404,77.0556,0.34,2.58,16.63,2.81,83.03,2.82
Ah 8d 2c,Qc,KhTc,0.979,29.19,1.00698,57.4869,21.24,1.01,39.92,1.00,38.83,1.01
Ah 8d 2c,Qc,KhJc,0.988,32.39,1.11281,57.2541,14.27,1.11,38.69,1.11,47.05,1.11
Ah 8d 2c,Qc,KhTd,0.979,29.03,0.96152,55.2112,10.80,0.96,38.67,0.96,50.53,0.96
Ah 8d 2c,Qc,KhJd,0.988,32.22,1.08453,56.1079,6.97,1.08,23.72,1.09,69.31,1.08
