Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 21%,RAISE 21 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,9h,Tc9c,0.403,35.35,-0.00359,-0.0847,0.14,-0.68,0.41,-0.66,99.46,0.00
Ah 8d 2c,9h,Jc8c,0.765,33.71,-0.00239,-0.05915,0.14,-0.77,0.20,-0.64,99.66,0.00
Ah 8d 2c,9h,Jc9c,0.479,35.99,-0.00284,-0.06581,0.05,-0.24,0.85,-0.32,99.10,0.00
Ah 8d 2c,9h,JcTc,0.480,24.67,0.43968,14.852,24.47,0.43,75.08,0.44,0.45,0.00
Ah 8d 2c,9h,JcTd,0.028,24.49,0.4424,15.0564,0.84,0.33,98.77,0.45,0.39,0.00
Ah 8d 2c,9h,JcTh,0.047,24.50,0.69939,23.7892,4.52,0.65,95.21,0.70,0.27,0.00
Ah 8d 2c,9h,JcTs,0.194,24.53,0.43513,14.7841,3.42,0.35,96.23,0.44,0.35,0.00
Ah 8d 2c,9h,Qc8c,0.869,35.61,-0.00227,-0.05305,0.14,-0.54,0.21,-0.72,99.65,0.00
Ah 8d 2c,9h,Qc9c,0.016,37.35,-0.00338,-0.07551,0.03,-0.12,0.63,-0.53,99.34,0.00
Ah 8d 2c,9h,QcTc,0.384,20.39,-0.00312,-0.12772,0.07,-2.52,0.08,-1.65,99.85,0.00
Ah 8d 2c,9h,QcJc,0.478,23.38,-0.00318,-0.11319,0.10,-2.81,0.02,-1.62,99.88,0.00
Ah 8d 2c,9h,QcTd,0.003,20.18,-0.00314,-0.12962,0.07,-2.57,0.08,-1.70,99.85,0.00
Ah 8d 2c,9h,QcJd,0.005,23.13,-0.00319,-0.11511,0.10,-2.89,0.02,-1.64,99.88,0.00
Ah 8d 2c,9h,QcTh,0.003,19.25,-0.00318,-0.13788,0.07,-2.62,0.08,-1.80,99.85,0.00
Ah 8d 2c,9h,QcJh,0.003,22.36,-0.00319,-0.11895,0.11,-2.67,0.02,-1.84,99.87,0.00
Ah 8d 2c,9h,QcTs,0.003,20.20,-0.00315,-0.12998,0.07,-2.57,0.08,-1.69,99.85,0.00
Ah 8d 2c,9h,QcJs,0.013,23.48,-0.00324,-0.11484,0.10,-2.94,0.02,-1.54,99.88,0.00
Ah 8d 2c,9h,Kc3c,0.257,17.44,-0.00302,-0.14455,0.04,-5.92,0.01,-4.75,99.95,0.00
Ah 8d 2c,9h,Kc4c,0.239,17.54,-0.00303,-0.14387,0.04,-5.92,0.01,-4.74,99.95,0.00
