Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Qd Jh 2h,3d,Ts9s,0.863,21.36,3.2261,125.866,3.34,2.86,0.61,2.73,96.04,3.24
Qd Jh 2h,3d,Js8c,0.574,56.41,6.11298,90.303,0.11,4.49,0.13,5.49,99.77,6.12
Qd Jh 2h,3d,Js9c,0.488,57.50,6.20388,89.9161,0.11,4.78,0.13,5.65,99.75,6.21
Qd Jh 2h,3d,JsTc,0.378,59.20,6.468,91.0537,0.11,5.01,0.15,6.07,99.74,6.47
Qd Jh 2h,3d,JsJc,0.998,93.70,24.3739,216.779,95.73,24.35,4.25,24.85,0.02,19.36
Qd Jh 2h,3d,Js8d,0.598,56.49,6.15944,90.8567,0.11,4.67,0.13,5.57,99.77,6.16
Qd Jh 2h,3d,Js9d,0.438,57.20,6.19879,90.3063,0.12,4.77,0.14,5.56,99.74,6.20
Qd Jh 2h,3d,JsTd,0.290,59.59,6.53359,91.3735,0.11,5.27,0.19,6.18,99.71,6.54
Qd Jh 2h,3d,JsJd,0.998,94.22,24.024,212.479,96.40,24.01,3.57,24.36,0.02,19.46
Qd Jh 2h,3d,Js8h,0.574,56.42,6.18074,91.287,0.10,4.63,0.13,5.57,99.77,6.18
Qd Jh 2h,3d,Js9h,0.529,56.90,6.08348,89.0971,0.12,4.73,0.14,5.59,99.74,6.09
Qd Jh 2h,3d,JsTh,0.572,59.45,6.41712,89.949,0.12,5.19,0.19,6.25,99.69,6.42
Qd Jh 2h,3d,Js7s,0.833,55.93,5.95441,88.719,0.10,4.39,0.11,5.50,99.79,5.96
Qd Jh 2h,3d,Js8s,0.595,56.37,6.11184,90.357,0.11,4.50,0.13,5.49,99.77,6.11
Qd Jh 2h,3d,Js9s,0.504,57.45,6.20327,89.984,0.12,4.78,0.14,5.65,99.75,6.21
Qd Jh 2h,3d,JsTs,0.382,59.20,6.46811,91.055,0.11,5.01,0.15,6.07,99.74,6.47
Qd Jh 2h,3d,Qs8c,0.449,74.68,10.6026,118.319,7.80,10.78,12.21,10.54,79.99,10.59
Qd Jh 2h,3d,Qs9c,0.473,75.73,10.8834,119.767,28.03,11.08,13.78,10.82,58.18,10.81
Qd Jh 2h,3d,QsTc,0.655,78.10,12.2218,130.407,95.22,12.24,4.27,12.00,0.50,11.68
Qd Jh 2h,3d,QsJc,0.996,89.48,19.7555,183.978,99.30,19.75,0.68,20.17,0.03,16.10
