Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,Jd,KhJs,0.572,93.38,15.6989,140.104,95.52,15.67,4.36,16.19,0.12,17.26
Jh 8d 2h,Jd,KhQs,0.856,23.02,2.00419,72.5411,1.93,4.77,1.36,4.36,96.71,1.92
Jh 8d 2h,Jd,Ah2c,0.898,48.88,4.368,74.4693,0.08,4.83,0.21,4.59,99.71,4.37
Jh 8d 2h,Jd,Ah3c,0.976,31.15,2.14899,57.484,2.62,4.13,1.66,3.54,95.72,2.07
Jh 8d 2h,Jd,Ah4c,0.973,31.15,2.14818,57.4604,2.49,4.13,1.62,3.54,95.89,2.07
Jh 8d 2h,Jd,Ah5c,0.962,31.53,2.17177,57.4024,2.03,4.11,1.52,3.52,96.45,2.11
Jh 8d 2h,Jd,Ah6c,0.930,32.68,2.23004,56.874,0.37,3.97,0.37,3.40,99.26,2.22
Jh 8d 2h,Jd,Ah7c,0.934,34.52,2.51002,60.587,0.43,4.08,0.46,3.59,99.11,2.50
Jh 8d 2h,Jd,Ah8c,0.615,66.76,7.293,91.0394,0.12,7.24,0.11,8.09,99.76,7.29
Jh 8d 2h,Jd,Ah9c,0.650,41.57,3.61947,72.555,1.26,4.78,1.23,4.10,97.51,3.60
Jh 8d 2h,Jd,AhTc,0.379,45.25,3.97055,73.1278,0.26,4.84,0.28,4.36,99.46,3.97
Jh 8d 2h,Jd,AhJc,0.870,93.96,16.5778,147.024,88.87,16.52,11.12,17.04,0.01,18.16
Jh 8d 2h,Jd,AhQc,0.377,47.33,4.23404,74.5486,0.21,5.04,0.25,4.67,99.54,4.23
Jh 8d 2h,Jd,AhKc,0.060,47.07,4.07229,72.0958,0.18,4.83,0.28,4.55,99.54,4.07
Jh 8d 2h,Jd,AhAc,0.996,78.10,11.4844,122.536,0.07,10.37,0.31,10.74,99.62,11.49
Jh 8d 2h,Jd,Ah2d,0.797,49.05,4.37606,74.3486,0.09,4.84,0.23,4.64,99.68,4.38
Jh 8d 2h,Jd,Ah3d,0.970,31.40,2.57549,68.3436,20.63,4.19,3.13,3.64,76.25,2.10
Jh 8d 2h,Jd,Ah4d,0.966,31.40,2.56225,67.9901,20.01,4.19,2.97,3.64,77.01,2.10
Jh 8d 2h,Jd,Ah5d,0.947,31.83,2.54392,66.5999,20.15,4.13,1.83,3.67,78.03,2.11
Jh 8d 2h,Jd,Ah6d,0.697,33.04,2.26119,57.0385,0.39,4.04,0.39,3.60,99.22,2.25
