Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,3h,Kh9d,0.975,25.05,3.34143,111.167,54.08,3.30,42.26,3.38,3.66,3.53
Jh 8d 2h,3h,KhTd,0.953,25.00,3.58578,119.512,6.94,3.28,25.44,3.39,67.62,3.69
Jh 8d 2h,3h,KhJd,0.542,79.56,11.1264,116.543,0.76,11.22,6.69,11.47,92.55,11.10
Jh 8d 2h,3h,KhQd,0.884,26.85,3.97039,123.247,32.15,3.94,62.73,3.99,5.12,3.94
Jh 8d 2h,3h,KhKd,0.997,83.25,13.409,134.225,1.58,13.32,98.29,13.41,0.13,13.06
Jh 8d 2h,3h,Kh4h,0.975,94.86,21.208,186.306,99.12,21.21,0.85,20.79,0.03,19.67
Jh 8d 2h,3h,Kh5h,0.977,94.83,20.869,183.392,97.95,20.87,1.99,20.64,0.06,19.55
Jh 8d 2h,3h,Kh6h,0.975,94.77,20.4098,179.464,75.29,20.44,24.40,20.33,0.31,19.43
Jh 8d 2h,3h,Kh7h,0.977,94.73,20.5091,180.425,91.13,20.52,8.73,20.38,0.14,19.22
Jh 8d 2h,3h,Kh8h,0.847,94.12,18.6088,164.762,4.08,18.96,65.85,18.81,30.06,18.11
Jh 8d 2h,3h,Kh9h,0.953,94.67,20.5188,180.62,77.85,20.55,21.91,20.41,0.24,19.37
Jh 8d 2h,3h,KhTh,0.848,94.60,19.8659,174.992,42.35,19.95,57.28,19.81,0.37,19.10
Jh 8d 2h,3h,KhQh,0.730,94.16,19.5834,173.326,94.45,19.59,5.42,19.45,0.13,18.76
Jh 8d 2h,3h,Kh7s,0.983,24.70,3.34935,112.996,74.35,3.38,21.71,3.33,3.94,2.90
Jh 8d 2h,3h,Kh8s,0.662,53.46,5.79637,90.3561,0.38,5.93,0.67,6.04,98.94,5.79
Jh 8d 2h,3h,Kh9s,0.973,25.02,3.34205,111.311,50.31,3.29,45.73,3.37,3.96,3.64
Jh 8d 2h,3h,KhTs,0.908,24.96,3.51703,117.439,7.77,3.20,32.08,3.31,60.14,3.67
Jh 8d 2h,3h,KhJs,0.572,79.77,11.1643,116.624,0.88,11.32,7.23,11.52,91.89,11.14
Jh 8d 2h,3h,KhQs,0.856,26.84,3.96251,123.017,5.36,3.92,90.39,3.97,4.25,3.87
Jh 8d 2h,3h,Ah2c,0.898,41.91,5.6832,113.002,0.83,5.71,66.08,5.74,33.09,5.57
Jh 8d 2h,3h,Ah3c,0.976,44.80,5.89339,109.616,0.36,5.73,0.77,5.92,98.87,5.89
Jh 8d 2h,3h,Ah4c,0.973,31.64,5.95198,156.771,35.03,6.03,64.28,5.92,0.69,5.48
Jh 8d 2h,3h,Ah5c,0.962,31.64,5.948,156.666,33.46,6.02,65.86,5.91,0.68,5.47
